sampleID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180
Muribaculaceae	50887515.17	25795190.23	36003546.25	49205857.17	92442917.87	60718256.87	90553004.85	137618086.7	68706990.01	20296404.34	36375031.18	14760865.93	26775593.05	62497360.48	78106903.49	75138545.57	81721511.8	72930056.82	27260533.39	45138361.04	42698698.79	56800845.5	41799762.81	44672924.88	120432737.7	115959361.3	57200254.6	26717362.66	39232277.56	31246619.5	76050395.15	98774610	79944804.13	83176757.64	121336277.7	84689141.15	44766611.49	30537413.12	48801872.28	47456936.02	62516902.82	102770935.5	81343242.5	89120442.94	62107734.81	16252531.14	46636401.39	44970186.55	32498855.78	51437313.95	76401062.76	58300258.99	700670.6577	178759542.8	18285295.42	28709865.04	64804050.98	62325772.88	36979415.53	88884896.69	95477221.38	546874.4967	154606506.8	15048112.05	37171467.84	34183812.85	50380002.14	18882291.32	41896239.81	81769059.58	901361.939	70682102.08	14541306.61	30543541.57	38426277.28	87716144.19	67964000.32	58902349.6	86359757.91	35007438.6	55214641.76	17670270.75	59408398.67	50837337.54	41218975.87	69078028.23	49984105.16	103195930.7	30521991.15	60921230.43	10203637.06	48523086.46	34599544.09	35251357.3	49101831.73	33289198.34	33161762.41	39939413.13	64862183.08	13303042.78	32833943.67	65238958.4	73703692.15	97543793.05	60191082.39	48633309.95	71422172.7	61391914.54	17588971.95	60718631.97	162697512.2	97826028.99	72102979.1	92118820.8	58954784.8	61804739.91	93478774.52	30514405.43	41542115.98	117861834.1	58256298.52	52015754.48	59810810.67	74386303.49	61362944.49	92333267.74	35501228.18	72483346.45	33954296.27	42848850.85	52426913.4	40694827.45	59637936.05	85247351.25	49835446.87	27626.57934	18736.93659	21431.29215	9706.924544	5287601.109	8239534.185	6240763.783	13757792.34	17181045.87	64388.95045	54491.05003	73296.84399	20670.82583	7418933.464	8335759.122	4892596.768	9146388.134	18531484.36	33005.12459	0	55504.69421	35151.93961	4039601.171	5498394.25	11809648.13	12759121.83	23898759.89	63474.28748	29023.58525	67165.74688	81424.89092	6733910.121	2705472.834	9258013.91	11206572.42	33600959.18	89969.1362	25541.3943	100688.1195	32405.41754	5266703.648	4830185.509	13611722.84	13260601.25	21078063.11
Faecalibaculum	44782260.91	41825191.86	33338574.75	28046823.25	21320179.83	3864558.816	13274066.28	23512127.69	14749313.72	11388335.44	34152922.82	27722903.02	26281394.01	22631484.81	1495994.923	9524517.89	25242470.62	5182323.067	13740443.41	37210264.08	28627205.52	32301461.95	25592599.61	15319893.75	5338035.461	25174557.44	6329988.331	21549231.35	43480094.41	38016248.25	29896697.89	33982492.1	20845660.89	12667593.6	14803965.87	3969967.942	21104657.98	44664102.29	38188304.08	28971108.03	24483588.85	8372744.354	14178172.3	26382821.01	7489202.31	1118374.939	7450383.049	19838320.45	4428083.902	11119578.89	8914310.676	29623500.23	1623962.427	7402709.572	199475.95	8537363.99	7421562.87	4264394.987	6020414.969	4465178.129	6848177.548	1014596.106	8127128.08	3898821.034	12873091.86	195799.9898	8275034.956	3217681.83	4262434.246	19797219.43	1830642.168	4763468.551	4537817.253	16730080.85	7535449.658	19864158.84	14553653.64	4417726.836	26003370.22	5408968.078	4503337.927	5634964.617	19983461.35	7831752.467	4479380.052	20747286.68	2823566.858	20534117.85	4326597.334	4490529.685	2862643.908	33137315.8	28747220.82	20759054.48	10418986.11	6311111.365	13624232.29	8774366.05	4821366.239	406941.4516	16038824	12966292.68	9605347.813	9969753.777	5790103.675	15911802.49	2349931.638	2759167.685	6482160.213	21030697.82	18689111.37	11036284.01	10556918.88	2668644.893	9843769.294	6205142.754	4195842.178	6726087.531	24842366.28	22570638.61	20068462.07	15266749.49	10335735.72	22157693.48	7261430.866	3455840.314	3652327.073	27900222.18	20949046.92	13406315.39	4692758.682	4394528.135	18478897.49	4736692.098	2691975.738	4780289.405	23120811.96	26096662.75	7088732.689	6376857.695	3769651.56	3590356.529	13203964.27	3214320.605	5834061.133	26276531.99	19199094.6	8966216.783	4551271.217	4681039.261	7023104.001	5670628.592	1686181.596	7829890.138	23373710.29	31915199.17	8951066.852	5848775.922	3608529.178	10028822	8218353.341	1893493.455	2965901.296	19957983.03	25442956.54	7876911.395	3309763.313	1812796.988	11670051.11	10808698.43	4023341.954	5492560.229	15829897.05	26519211.41	6212118.542	5246944.745	4380160.792	12894486.72	7674399.475	3900786.428
Bacteroides-acidifaciens	3308637.152	443306.1897	1062707.514	1611617.144	2342460.229	8513880.922	6374083.118	3797077.566	5473327.883	805076.5814	804027.1188	389270.3699	1179044.157	952334.6644	15098622.92	3224981.803	1315778.035	1033576.376	2212911.129	995992.0793	784614.0901	1066355.496	449248.1877	856604.167	4929856.06	2068744.962	2478816.569	1445712.244	633025.1207	732770.5269	1305192.952	1605790.156	8607322.715	2983464.586	13093093.09	3001683.078	2521812.74	594113.0958	1135566.45	782251.0732	4784825.434	10805791.84	1502799.841	2855241.617	3994301.328	429802.4839	1250810.804	10886508.67	5254659.564	5118083.981	4122581.784	4449818.789	2739411.367	494824.7655	2077505.079	2696514.228	3204892.829	5957816.796	4866636.147	2228154.045	10481190.28	2823119.661	1044389.155	976464.6542	2085374.469	5200638.753	5265317.032	3902456.87	9076633.778	8941878.277	4056128.725	26479704.33	239768.1006	622189.5677	5025190.338	4310355.914	5616076.442	5114197.061	6950032.439	2905104.189	27917974.1	739172.8436	1551958.167	3224565.41	2495325.249	8114476.05	3989595.394	10447560.88	7070876.686	14451183.37	12334471.11	8644517.167	6129777.655	13648295.86	33110587.17	38014328.51	17256570.19	19011126.44	32612882.36	5413447.788	5842627.513	17166473.03	21140721.22	34016043.37	39015195.24	18476406.09	49702228.42	12580139.78	12054686.3	13108075.02	23052281.78	28861989.9	61641012.06	63386151.44	28998143.65	30224258.02	21441409.13	9843594.446	7084568.802	23908534.27	24834065.46	41342381.52	39106634.77	29947167.91	26378427.59	25222505.76	33651274.09	14201148.05	9404661.205	14378140.44	35283679.34	18370677.98	29707078.15	29909051.93	15177261.53	8911.799786	17033.57871	0	0	0	23192.36644	6688.443608	0	5022.375946	16888.90504	26850.66233	14035.56587	16241.36315	30823.64906	14989.20087	15960.5636	19807.5849	0	6908.049332	4225.437233	0	18440.36176	9504.222549	4234.652849	7004.997905	0	0	0	0	30010.22733	0	5351.274557	3166.764925	0	22880.93281	35727.75292	0	0	42059.59421	4050.677192	0	5585.41316	7881.715599	0	0
Akkermansia-muciniphila	3581541.238	190522.0422	42836.40922	20613.70766	29491.40576	44843.6166	130929.4718	224329.8313	143357.8156	1197268.111	193810.8329	35215.16794	40720.52033	63701.31534	33617.86345	4093777.472	1561389.935	342462.4319	4444575.742	982712.1849	154681.0635	18754.99615	13691.37334	17576.11142	75295.22921	107574.738	110278.5423	2816375.717	613379.5135	66100.43413	65691.83069	62279.07314	47426.45227	217620.8767	129790.349	195761.9399	2770192.287	1746692.502	172143.1943	25592.85161	15120.58599	60769.9187	208855.5689	541913.2049	2789069.806	2892004.31	2390387.98	1159282.658	187619.555	236526.1528	203039.3598	143283.3616	67958.02365	835631.2266	2330174.616	791561.82	3007381.992	75699.31929	160856.363	124180.5598	652501.4375	98341.46652	1947644.64	71255.52882	532412.4837	42980.48556	285159.6237	127063.8131	119454.3405	167195.785	83754.87043	12189298.68	1704824.903	525025.7174	910981.2047	750499.5865	448159.3148	182216.0473	105691.7375	52876.62871	12843356.51	10726195	2115942.965	454666.8264	105780.0921	244957.5469	62745.93018	177807.8953	58098.06847	36648097	16450594.91	4972308.027	2558473.189	205726.6961	502640.4564	2854766.146	37555408.68	14773352.13	9851889.66	21121.52863	290508.4236	168961.3487	53736.21154	158250.0599	1140332.846	23956037.93	44683238.63	5270339.782	5871940.537	2171862.756	2038920.229	134306.4357	103583.8321	30179806.24	61493605.04	19900213.17	15636068.12	3185342.922	1288207.516	3336271.473	378055.8003	101632.1921	2176537.91	52981135.45	15606020.58	3578136.032	1231399.487	1984882.939	3865006.33	121754.8459	2753329.508	2515359.474	5243020.517	47296145.83	19145611.36	12476.5197	13626.86297	5173.07052	2677.772288	16809.51522	39248.62013	14268.6797	26372.76486	17076.07822	13722.23534	8686.97899	26511.62442	15749.20063	12754.6134	11462.33008	11400.40257	5659.309972	9174.002157	9210.732443	0	54271.25656	15559.05524	11956.92514	21778.21465	15566.66201	12072.49848	20517.73094	13042.66181	15365.42748	17148.70133	7101.007929	7358.002516	2814.902156	16188.1691	19067.44401	23818.50195	11107.30077	6179.369588	38235.99473	7291.218946	6373.839584	14362.49098	0	28071.36569	10731.18687
Parasutterella	6630269.737	1434518.906	2258481.32	2578587.431	3768580.35	4793462.303	3676935.999	5218620.287	8913915.458	1729387.271	944108.2159	1744578.455	818112.2721	1724713.113	1659882.008	8634232.576	8847876.3	13339530.63	4446919.927	429383.252	838416.1992	2033577.44	2808442.956	6716849.737	4418641.083	5949710.51	4973562.26	7440744.565	1073959.86	2887644.679	1728732.387	2853054.837	9639137.238	5902231.074	4210320.262	5971791.65	7735248.727	3043179.302	1921060.185	802280.2614	2790588.148	10913827.25	5922375.73	8610398.7	14551119.85	43313.42861	170255.5541	5642865.918	1308088.785	585615.9566	278958.4248	3180354.988	2917508.257	7766454.929	60581.58482	152012.7371	4362008.205	1017735.293	412377.2216	191592.8637	701902.1773	921051.784	7981651.836	121398.3084	281149.2118	124165.8472	2109640.628	134672.4247	170649.0579	2879482.963	5396206.652	3979151.222	118800.1077	134665.6872	275630.2107	2574574.785	774675.3871	299644.1667	5111636.761	121305.207	3147347.957	330826.2505	237993.585	252937.5178	1215114.904	1452248.314	156864.8255	3623509.381	105943.5366	3541276.788	6158650.076	13868988.62	12271832.05	9964557.154	6077173.301	1894062.596	4979268.093	10635183.62	3793172.993	1971342.672	5661668.356	6969158.689	5149720.273	7117392.94	2657203.33	6171744.769	4043650.738	2662050.532	9629266.49	11836132.43	7650409.141	6761634.348	4885704.079	2518225.648	2447762.983	5581168.154	3369785.749	5929751.8	10160235.81	11888642.51	8558763.257	6062061.341	3495993.534	7918239.895	7656432.886	3244781.573	4539239.223	12541442.53	11291219.36	7637349.423	5404004.92	2703810.954	11214273.45	7520514.46	3718323.379	8002350.618	4597362.895	6274934.541	4422340.933	4213136.896	4758003.176	3363841.239	5680034.232	1651859.449	2709613.702	2277567.946	3413761.521	2753157.135	3061107.217	2617819.847	1568239.378	2866440.501	1973633.664	5344527.5	4145153.926	6976323.344	4089150.221	2241463.582	2722881.782	3227747.368	4002033.247	2402040.072	4257124.815	2109331.74	2135013.316	3303388.888	1476951.778	1146720.766	3067658.045	4677879.596	5064408.976	4650626.831	2413249.803	4030073.845	6349436.498	2146709.172	3708714.338	4504963.445	2411018.409	1747171.363
Bacteroides	1044832.785	1217846.78	1343422.706	817052.4128	535058.3616	2174915.405	1983581.498	991773.9912	424559.6847	893763.1081	347324.364	130391.2975	310956.7007	404503.3524	953906.8754	4218110.421	298243.0214	596214.7159	1529581.05	677274.6139	546988.1086	431364.9116	280673.1535	289543.3092	495363.3501	339274.1737	377397.6783	357505.057	1124165.3	679890.1796	447741.6881	496549.3669	810876.6595	492587.7952	987193.2608	496772.2345	909880.1747	400036.1512	407935.973	180262.694	898834.834	1444973.622	933848.4633	862399.5089	548979.8034	453125.0993	1595862.061	3289752.443	1999525.886	2680154.779	1521912.419	1442207.293	28994642.3	1500859.223	2081937.878	2593802.919	1511144.235	4169069.918	2526907.23	498496.2472	4275222.352	40802114.32	883713.9002	4000865.988	3385966.295	1208229.205	1589325.675	2316822.221	1867659.133	3513175.63	53491443.92	2719926.151	265349.1457	568493.7557	1689597.619	1025415.21	1901475.95	2223035.777	3862552.59	889571.5184	3333286.381	956448.1699	1433961.348	1536246.273	596708.2116	2177857.854	1570391.197	1654152.238	2190638.935	1954854.139	290270.9476	198943.0072	212387.6496	420245.1314	1109902.908	771114.9935	504079.5449	465330.1569	1740695.981	459041.2222	290508.4236	457189.5318	403021.5866	791250.2997	1041173.468	521268.7859	1346962.579	770000.2841	427967.3995	363709.0739	1212652.265	555750.7683	1074682.258	1426389.399	760807.3883	812618.0833	1121076.582	673935.9793	250771.0631	812898.633	1073258.411	1271398.795	1180743.623	757542.2751	1348787.386	1406400.767	677555.2047	395415.7363	187530.6322	201448.9268	821232.7694	483825.7861	836961.5582	2159952.567	965845.6141	20032834.74	17503137.7	19877153.97	9916125.504	12437024.12	21990823.45	16318018.82	20812506.94	10522882.08	33034698.25	29478078.61	25937725.73	14618211.16	18543082.12	22611650.38	18188658.28	26716659.16	15009890.73	14928294.61	26200527.8	20561405.61	13205027.81	4492124.8	14842458.24	16274166.8	20250107.14	11721486.58	34685654.82	31410348.32	47090333.86	15514755.52	24969047.08	8042175.459	40206555.6	40124258	32151007.88	28235869.28	10862507.82	26209499.86	11677292.21	11795427.53	7820775.299	21047558.53	19980574.29	6231466.077
Lachnospiraceae-NK4A136-group	8228707.953	1241506.38	787460.7994	1227452.593	391814.3908	33443728.63	4410141.041	22784826.76	5543168.87	1285954.637	4352108.605	2795322.925	7722091.401	5209175.062	1651477.542	3462902.878	1482443.253	2989325.686	1223664.84	8853262.927	3521796.387	350986.3566	412452.6218	673442.5849	2361892.453	16332741.47	8746313.725	1692008.667	5149331.93	503307.5913	914499.4325	934186.0971	168884.4398	9157721.756	5579018.488	9087142.951	2392553.997	1345336.099	3468902.352	5384513.433	1806069.994	7080820.897	2950384.991	3521464.661	3206438.688	2295611.717	4324491.075	35262153.96	3483426.003	1746873.875	1345356.454	397711.7606	7334779.794	2713343.748	1490898.026	1710485.663	26261488.1	4903633.683	2389448.156	1869804.429	3373658.852	11568314.46	2427499.116	1555305.864	864478.4819	10014453.14	4522009.956	4976792.823	3845292.104	1899013.854	14916343.59	13542066.18	1054459.35	1835033.067	2623937.316	3933099.437	1532704.857	3148288.373	1468474.596	11570650.52	12693698.75	468397.5626	2715926.793	3043009.033	28273119.99	780158.9099	7557398.702	5280355.678	8629271.934	8868362.679	1394935.878	4701137.304	15883649.77	17856022.22	40318132.9	49551885.94	11321033.54	8303502.237	30206597.4	2695811.104	8082301.393	33981108.89	41777665.46	57371436.37	32458616.37	17634804.53	24074020.42	20753588.74	609406.0499	7425900.121	71582149.86	34099940.89	39784823.49	51321490.57	31650785.47	34444737.38	32186698.71	9563402.244	14592814.74	41855811.9	15256651.85	35533404.27	54337889.18	18548915.93	21836592.52	25352691.52	10993142.87	22811846	21794810.07	28433077.1	62706987.89	39795339.18	7847462.828	48732619.14	13666897.67	1169228.132	1295687.554	472966.4476	391958.9186	3377367.799	1445062.832	909182.4345	2152676.932	2056662.95	3442169.958	3495324.455	4358822.956	786967.8689	457040.3137	1520963.03	3224489.864	1637427.019	546770.5285	2269294.206	3118372.678	3872994.218	1310994.469	1449240.645	2992084.713	3314142.342	1637332.607	2875413.436	1885099.387	2909187.604	3239675.493	1781879.59	7169370.088	1486620.201	8450224.272	5060499.639	3290923.019	1487267.573	279719.4633	2285237.952	172963.9161	233282.5288	940344.2013	2850929.128	4226300.057	1750524.858
Alloprevotella	1413903.072	266481.8107	890450.4641	482548.1566	389707.8618	257850.7954	290226.9958	108622.8657	69840.98709	6344042.878	255216.2453	1156389.974	2219268.358	2076662.88	275246.257	282435.3412	204676.5833	94899.22813	4711812.891	1084524.709	295911.5997	827899.116	1025997.29	1542997.571	435919.7481	136537.1675	58815.22259	523294.6159	209553.1434	358830.9281	1175538.023	84160.90965	390979.0455	341135.4283	145522.5125	84198.68382	7910128.204	231043.9817	766688.1762	1013699.47	1821190.58	1224401.325	264070.2596	118482.8154	63101.12683	13888062.17	14228824.18	9827031.803	8774822.263	8037614.626	14938400.2	21015785.76	98421.96529	8798705.268	12408881.69	17821096.82	13192233.27	10569867.92	11868274.93	4910454.136	31807901.31	107935.7559	11694552.99	7630499.469	8373597.587	3357253.483	45364706.58	11788782.76	17844203.15	18220212.27	87743.1976	3367527.616	966009.635	601734.0202	21450882.21	24766486.36	10635460.77	8900241.6	9784492.673	1940883.313	7247063.452	15710425.48	6357828.627	12604978.26	6169149.215	4733444.362	4946470.829	21490508.8	1192719.17	8911707.56	7362252.428	1828501.652	4729001.307	2975124.529	9802626.095	4805340.716	2773920.084	4747876.779	8157130.07	401309.044	1304042.002	10666430.55	3828705.072	2277256.96	4309412.965	4961275.167	10875168.64	2696735.229	2322089.274	2254996.258	14385384.71	6210514.836	4644008.47	12977550.09	5988213.113	7520065.971	4687542.433	6585991.43	1180570.621	16774502	5656134.835	2530840.862	3327960.297	4648934.933	4225282.934	2570182.608	6155094.191	4690359.03	14066672.72	5680416.991	29711028.41	1983418.416	7289909.886	10314822.03	4502662.912	8020.619807	6245.645529	5173.07052	1673.60768	0	15164.23959	5350.754887	9889.786823	7533.563919	14777.79191	20532.85943	7797.536594	2952.975118	0	5290.306191	6840.241544	8488.964958	6116.001438	6140.488295	8450.874466	4933.750597	5186.351746	3679.05389	4234.652849	9339.997207	0	0	6956.086299	23048.14122	8574.350666	4260.604757	10702.54911	2814.902156	0	7626.977603	0	13328.76092	4531.537698	0	6076.015788	0	8378.11974	15763.4312	12476.16253	0
Parabacteroides-goldsteinii	168940.6244	52300.16845	31899.45368	43101.38875	75835.04337	270663.2573	242219.5228	250304.8644	494400.6718	53211.91603	88270.28034	19035.22591	42571.45307	47775.98651	386605.4297	142752.6453	181284.9738	798391.3323	48055.80312	157145.417	73977.89993	64302.84396	86426.7942	144309.1253	261551.8488	146880.8923	465620.5121	35477.60108	69851.0478	41548.84431	32845.91535	136340.6736	151533.2987	176449.3595	247781.5754	850406.7066	86172.49565	29045.52913	63649.58444	67876.69341	60482.34397	202566.3957	232861.9562	217542.2185	405650.1011	222120.1467	43131.40705	95967.10745	38048.72094	74092.52979	44138.99127	74989.42287	20298358.65	399792.1947	437369.4904	67104.72177	121115.136	75699.31929	58493.22292	39028.17594	113210.0286	18972707.32	301808.9241	241916.9188	46489.23974	148043.8947	58113.09866	49455.97516	56883.01929	72245.09227	21696499.77	5008117.993	105359.2196	31535.63562	46716.98486	70233.91853	53779.11778	52640.19144	67258.37844	385688.3506	10326385.16	231469.1918	95997.41242	29483.51434	31191.56561	55578.60308	55774.16016	105068.3018	471619.6146	4200118.981	8453834.724	7305136.538	10075522.77	8149942.193	14817658.7	11309686.57	3481855.327	1778315.789	2580256.816	7108098.435	8745277.321	28860586.14	17264996.97	18291391.08	4612251.065	3013069.481	4268835.251	1654460.07	8780654.327	10684733.42	37081004.06	16380753.9	7924163.152	8573897.004	6807728.473	7299051.712	2579787.339	16354376.39	4763505.126	31224621.97	17285551.31	10175175.94	7765616.606	6078733.267	3512352.458	3077118.087	20505561.17	7770439.502	14520496.85	16675986.44	16318335.07	5792544.08	10124453.41	14380460.9	3297724.95	13636390.44	12004698.49	24824087.41	11242292.23	17887341.34	21150546.18	13160627.54	14076463.24	668478.2384	25823135.8	28213728.31	27966644.75	18613094.33	19374257.76	24615794.71	14088617.5	24365215.87	83789.2197	12453294.04	31273869.44	23704204.74	17533902.73	5556597.725	13674299	18519657.79	15499578.99	274058.2633	17445864.44	20696377.19	24668406.87	13492388.47	21219810.35	7022125.29	33074048.29	26315615.06	2077171.857	14852682.58	9059367.774	30595168.45	16992185.75	12703062.29	13320013.51	24773358.09	26653761.72	282364.3546
Lachnospiraceae	5208569.406	2809266.191	1191216.742	1462636.257	891061.7596	3177490.547	2930638.01	2418039.445	5791288.166	1707708.342	2747892.206	1332465.814	4049840.84	3269470.01	4179120.65	1310868.377	3336228.308	6407760.925	1992557.69	6668720.3	12739891.07	1473606.841	1003748.808	2308020.947	10133152.69	2887967.966	6355719.991	1666764.989	5077298.037	1339950.229	1574875.204	2114122.05	439562.2405	1070459.447	3645928.895	8329354.797	2978020.07	1036397.289	3087004.845	3913480.831	1276849.484	4510478.41	4551611.019	6232973.027	2186003.322	2764285.226	4778505.886	22943816.05	2000837.911	3101912.257	6483135.037	4937250.038	19644555.6	13484794.11	4443142.086	3594895.809	11418362.36	10491364.92	9857570.393	6856540.909	8112013.139	25192205.44	8730745.928	3298867.075	1995716.649	13061292	5957268.347	4201475.305	7646973.893	3791835.271	26299029.32	19471217.37	1212714.968	2157207.939	2855965.008	4739786.159	2558349.46	3107795.918	2272372.357	14889436.57	23473592.26	605968.8747	4775871.268	4163382.577	7959273.85	1733229.029	9305570.035	8550943.327	13512927.22	15933578.3	1197878.699	1515514.883	2822423.158	2459928.614	10289345.81	10015380.08	1346930.196	720884.4485	3975941.184	3794834.644	2784985.781	11537078.45	5434074.392	13393358.73	1628089.786	1042537.572	1612210.595	1397793.309	504448.2656	3776339.356	16026031.89	3644798.789	5839538.532	5039044.73	4415079.096	3033923.009	2258543.172	4137996.407	5184892.118	5177994.938	1846172.491	8485291.647	7052885.021	1474949.86	2089244.135	2562292.561	8467536.814	10116919.73	3120509.72	1221975.908	7651396.383	4570950.797	595481.7129	8207295.494	1203480.082	1571150.302	1584690.606	805520.981	380913.108	638089.1979	1273796.126	751335.1653	2895509.809	2099855.383	6179228.13	3015171.435	8597563.849	1051751.305	854559.0981	1269673.486	2016047.191	3087153.59	1821345.228	1472182.069	1559186.339	4561252.427	1378993.303	728759.258	1764640.337	1988641.072	2547297.18	5895916.541	3366745.769	3178082.584	10417836.06	1312739.666	4108441.041	608018.8656	5573586.622	3536375.282	4449097.676	5594747.396	608461.9254	8048676.891	599095.1567	523929.6138	810283.8663	2639248.766	6035343.623	2249525.048
